Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2025-12-22,U (Sep 2026),0.0000,19.0000,0.0000,0.0000,21.10,0,0,0,0
2025-12-23,U (Sep 2026),0.0000,21.1000,22.8000,0.0000,21.175,0.075,0,0,0
2025-12-24,U (Sep 2026),0.0000,21.2000,0.0000,0.0000,21.0995,-0.0755,0,0,0
2025-12-26,U (Sep 2026),21.8000,22.0000,21.7000,21.8500,21.825,0.7255,201,0,184
2025-12-29,U (Sep 2026),21.8500,21.8500,21.6500,21.7500,21.70,-0.125,49,0,228
2025-12-30,U (Sep 2026),21.7000,21.7500,21.6000,21.7000,21.675,-0.025,96,0,295
2025-12-31,U (Sep 2026),21.7500,21.7500,21.6900,21.7500,21.725,0.050,191,0,442
2026-01-02,U (Sep 2026),21.7000,21.7500,21.7000,21.7500,21.75,0.025,19,0,452
2026-01-05,U (Sep 2026),21.6600,21.7000,21.6200,21.7000,21.70,-0.05,128,0,484
2026-01-06,U (Sep 2026),21.6500,21.7500,21.6500,21.7000,21.6665,-0.0335,17,0,490
2026-01-07,U (Sep 2026),21.7500,21.9000,21.7500,21.8600,21.80,0.1335,305,0,671
2026-01-08,U (Sep 2026),21.7500,21.8000,21.6500,21.7500,21.75,-0.05,97,0,719
2026-01-09,U (Sep 2026),21.7000,21.7000,21.5500,21.5500,21.55,-0.20,155,0,762
2026-01-12,U (Sep 2026),21.6700,21.6700,21.6000,21.6100,21.60,0.05,14,0,776
